name, pipeline, cache, clocks, rtc
"exchange sort", false, false, 1241987229, 62.3398389
"exchange sort", false, true, 57192612, 35.6945571
"exchange sort", true, false, 680728341, 109.22304
"exchange sort", true, true, 40048747, 58.8352013
"matrix multiply", false, false, 3381999775, 141.7846018
"matrix multiply", false, true, 1218797096, 423.2049672
"matrix multiply", true, false, 3484644170, 346.9990889
"matrix multiply", true, true, 911797089, 626.0625256
"matrix multiply fp32", false, false, 3450488315, 150.6739341
"matrix multiply fp32", false, true, 1598797096, 451.029306
"matrix multiply fp32", true, false, 3484644170, 350.2438636
"matrix multiply fp32", true, true, 1291797089, 634.5756894
